timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435294493925,-0.3125,1.5,-0.8125,1.734304615688951,-0.3125,-1.5,-0.8125
1435294494120,0.125,1.375,0.1875,1.3933435506004972,0.125,-1.375,0.1875
1435294494320,-0.125,1,0.1875,1.0250762166785454,-0.125,-1,0.1875
1435294494716,-0.25,1,0.125,1.0383279828647594,-0.25,-1,0.125
1435294494718,-0.0625,1.6875,-0.3125,1.7173289580042608,-0.0625,-1.6875,-0.3125
1435294494915,0.25,0.25,0.0625,0.3590351654086268,0.25,-0.25,0.0625
1435294495313,-0.25,1.5625,-0.125,1.5873031374000368,-0.25,-1.5625,-0.125
1435294495314,0,1.75,0.1875,1.7600159800410904,0,-1.75,0.1875
1435294495511,-0.25,1,0.1875,1.0476909133900132,-0.25,-1,0.1875
1435294495711,-0.125,1.0625,0.3125,1.114534656257938,-0.125,-1.0625,0.3125
1435294495909,1.3125,2.25,-0.125,2.6078307556281333,1.3125,-2.25,-0.125
1435294496108,0.125,0.1875,0.0625,0.23385358667337133,0.125,-0.1875,0.0625
1435294496306,-1.25,2.125,0.625,2.5433737436719754,-1.25,-2.125,0.625
1435294496505,-0.375,0.6875,0.1875,0.8052561704203204,-0.375,-0.6875,0.1875
1435294496902,-0.1875,1,0.375,1.084334473306092,-0.1875,-1,0.375
1435294496903,-0.0625,1.4375,0.375,1.4869221566712898,-0.0625,-1.4375,0.375
1435294497104,-0.1875,0.8125,-0.0625,0.8361930100162283,-0.1875,-0.8125,-0.0625
1435294497302,0,1.125,-0.4375,1.207075494739248,0,-1.125,-0.4375
1435294497499,0.6875,1.875,0.25,2.012655273513077,0.6875,-1.875,0.25
1435294497698,-0.3125,1.0625,0.1875,1.1232625472257143,-0.3125,-1.0625,0.1875
1435294497896,-0.0625,1,0.375,1.0698276730389806,-0.0625,-1,0.375
1435294498095,1,2.0625,-0.125,2.2955459590258696,1,-2.0625,-0.125
1435294498294,0.125,0.25,0.125,0.30618621784789724,0.125,-0.25,0.125
1435294498493,-2.1875,2,-0.0625,2.9646353064078554,-2.1875,-2,-0.0625
1435294498692,-0.5,0.875,0.25,1.0383279828647594,-0.5,-0.875,0.25
1435294498890,-0.125,1.0625,0.3125,1.114534656257938,-0.125,-1.0625,0.3125
1435294499089,-0.0625,1.5,-0.0625,1.5026019100214134,-0.0625,-1.5,-0.0625
1435294499486,0.25,0.5,-0.0625,0.5625,0.25,-0.5,-0.0625
1435294499488,0,1.625,-0.25,1.6441183047457382,0,-1.625,-0.25
1435294499686,-0.8125,1.3125,0.25,1.5637495003996005,-0.8125,-1.3125,0.25
1435294499884,-0.25,1,0.1875,1.0476909133900132,-0.25,-1,0.1875
1435294500083,-0.0625,1.0625,0.5625,1.203835017766139,-0.0625,-1.0625,0.5625
1435294500281,0.625,1.875,-0.125,1.9803724397193574,0.625,-1.875,-0.125
1435294500480,0,0.3125,0.1875,0.3644344934278313,0,-0.3125,0.1875
1435294500878,-2.5,2,0.0625,3.2021721143623747,-2.5,-2,0.0625
1435294500880,-0.25,1.125,0.1875,1.1675963557668378,-0.25,-1.125,0.1875
1435294501076,-0.25,0.9375,0.3125,1.0193441518937556,-0.25,-0.9375,0.3125
1435294501275,-0.0625,1.5,-0.0625,1.5026019100214134,-0.0625,-1.5,-0.0625
1435294501474,0.1875,0.75,0,0.7730823048033113,0.1875,-0.75,0
1435294501871,-0.125,0.9375,-0.5625,1.100426053853688,-0.125,-0.9375,-0.5625
1435294501872,0.125,1.8125,0.25,1.8339250938901512,0.125,-1.8125,0.25
1435294502268,-0.25,1,0.25,1.0606601717798212,-0.25,-1,0.25
1435294502666,-0.25,2.125,0.6875,2.2473943245456502,-0.25,-2.125,0.6875
1435294502668,0.0625,0.1875,-0.0625,0.2072890493972125,0.0625,-0.1875,-0.0625
1435294502864,0.0625,0.1875,0.25,0.31868871959954903,0.0625,-0.1875,0.25
1435294503464,-1.75,2.0625,0,2.7048856260478003,-1.75,-2.0625,0
1435294503465,-1.1875,1.375,0.25,1.8339250938901512,-1.1875,-1.375,0.25
1435294503466,-0.1875,1,0.3125,1.0643366478704002,-0.1875,-1,0.3125
1435294503859,-0.1875,1.3125,0.5,1.4169730060943293,-0.1875,-1.3125,0.5
1435294504256,-0.6875,1.1875,-0.0625,1.3735788109897444,-0.6875,-1.1875,-0.0625
1435294504257,-0.0625,0.8125,2.4375,2.570110649369011,-0.0625,-0.8125,2.4375
1435294504258,3.875,0.4375,0.0625,3.9001201904556737,3.875,-0.4375,0.0625
1435294504454,-0.25,1,0.1875,1.0476909133900132,-0.25,-1,0.1875
1435294504852,-0.25,1,0.25,1.0606601717798212,-0.25,-1,0.25
1435294504853,-0.0625,2,-0.125,2.00487686654318,-0.0625,-2,-0.125
1435294505051,-0.1875,-0.0625,0.1875,0.2724311839712921,-0.1875,0.0625,0.1875
1435294505249,-0.3125,1.5,-0.1875,1.5436361294035585,-0.3125,-1.5,-0.1875
1435294505448,-0.0625,2.9375,0.25,2.948781528021362,-0.0625,-2.9375,0.25
1435294505647,-0.1875,0.9375,0.1875,0.9742785792574935,-0.1875,-0.9375,0.1875
1435294505846,-0.1875,1,0.875,1.341931909598993,-0.1875,-1,0.875
1435294506442,0.4375,2.125,-0.1875,2.177656423773043,0.4375,-2.125,-0.1875
1435294506443,0,0.25,-0.0625,0.2576941016011038,0,-0.25,-0.0625
1435294506445,-2.1875,2.25,-0.1875,3.1436940849898227,-2.1875,-2.25,-0.1875
1435294506641,-0.1875,1.25,0.25,1.288470508005519,-0.1875,-1.25,0.25
1435294506839,-0.1875,1,0.3125,1.0643366478704002,-0.1875,-1,0.3125
1435294507038,-0.1875,1.3125,0.1875,1.3390178303517843,-0.1875,-1.3125,0.1875
1435294507237,0,0.75,-0.0625,0.7525996611745185,0,-0.75,-0.0625
1435294507436,0,0.75,0.1875,0.7730823048033113,0,-0.75,0.1875
1435294507833,2.3125,1.25,0.25,2.640578771784701,2.3125,-1.25,0.25
1435294507834,-0.1875,1,0.25,1.0476909133900132,-0.1875,-1,0.25
1435294508032,-0.1875,1,0.1875,1.034559084827928,-0.1875,-1,0.1875
1435294508430,1.125,2.5625,-0.125,2.8013668538768712,1.125,-2.5625,-0.125
1435294508628,0,0.1875,0.3125,0.3644344934278313,0,-0.1875,0.3125
1435294508630,-1.5,2.4375,0.5,2.9054098247923648,-1.5,-2.4375,0.5
1435294508827,-0.875,0.5625,0.0625,1.0420832500333166,-0.875,-0.5625,0.0625
1435294509224,-0.125,1.0625,0.4375,1.155827625556683,-0.125,-1.0625,0.4375
